# alpha,err_hub,lambda_hub,a_hub
1.052068671023622812e+02,2.479845889110299240e-02,-8.440527845209322422e+00,9.649430277777739651e-01
1.061822941099383542e+02,2.457125043186758617e-02,-8.530405067292267773e+00,9.649576146880591843e-01
1.071667648032862274e+02,2.434611579582024454e-02,-8.621118654248526525e+00,9.649725723614640538e-01
1.081603630310709434e+02,2.412303624303557825e-02,-8.712667010519869137e+00,9.649869057984231668e-01
1.091631734193614705e+02,2.390199319827801538e-02,-8.805063850215169907e+00,9.650012962571535846e-01
1.101752813788386192e+02,2.368296824967175418e-02,-8.898316046100626764e+00,9.650153858910426319e-01
1.111967731120697778e+02,2.346594314738181808e-02,-8.992434112851142913e+00,9.650296823593016438e-01
1.122277356208507086e+02,2.325089980229755326e-02,-9.087421783685361021e+00,9.650437927602154575e-01
1.132682567136153722e+02,2.303782028472811660e-02,-9.183289543099085961e+00,9.650578114395065299e-01
1.143184250129149149e+02,2.282668682310418085e-02,-9.280044812251215802e+00,9.650717990456832984e-01
1.153783299629659638e+02,2.261748180268496888e-02,-9.377694512842477792e+00,9.650853911051181511e-01
1.164480618372685541e+02,2.241018776427927683e-02,-9.476249811523690170e+00,9.650990553443470343e-01
1.175277117462945142e+02,2.220478740296738529e-02,-9.575721279290718257e+00,9.651130342805100959e-01
1.186173716452478004e+02,2.200126356683407280e-02,-9.676109873685778240e+00,9.651264706408528848e-01
1.197171343418965677e+02,2.179959925571117729e-02,-9.777425125601876488e+00,9.651395815595890104e-01
1.208270935044775882e+02,2.159977761992548650e-02,-9.879681993802822859e+00,9.651528766362986733e-01
1.219473436696738275e+02,2.140178195905395597e-02,-9.982885960406857606e+00,9.651660508023769403e-01
1.230779802506664566e+02,2.120559572069069532e-02,-1.008704539831291669e+01,9.651792180650136110e-01
1.242190995452616136e+02,2.101120249921595295e-02,-1.019216901590479907e+01,9.651921275316464044e-01
1.253707987440919709e+02,2.081858603458086598e-02,-1.029826840712966707e+01,9.652051734186596343e-01
1.265331759388942885e+02,2.062773021109221006e-02,-1.040534886628836375e+01,9.652179942964163040e-01
1.277063301308643446e+02,2.043861905621069397e-02,-1.051342134203303047e+01,9.652307080088635693e-01
1.288903612390891453e+02,2.025123673935524948e-02,-1.062249480236559585e+01,9.652433507967810300e-01
